"ID","氏名","カナ","生年月日","性別","血液型","部署","入社日","メールアドレス"
"1001","亀甲　滋万","ｷｺｳ ｼｹﾞﾏ","1950/02/04","男","A","人事部","1972/04/01","sigema_kikou@abc.co.jp"
"1002","寒田　希世","ｶﾝﾀﾞ ｷﾖ","1959/06/28","女","B","人事部","1981/04/01","kiyo_kanda@bbb.or.jp"
"1003","小和瀬　澄","ｵﾜｾ ｷﾖ","1969/03/06","男","A","人事部","1991/04/01","kiyo_owase@aaa.co.jp"
"1004","宇夫　早余子","ｳﾌﾞ ｻﾖｺ","1976/07/28","女","O","人事部","1998/04/01","sayoko_ubu@bbb.or.jp"
"1005","宇田津　聖智","ｳﾀﾞﾂ ｷﾖﾄﾓ","1965/09/04","男","A","営業部","1987/04/01","kiyotomo_udatu@abc.co.jp"
"1006","茨城　昭児","ｲﾊﾞﾗｷ ｼｮｳｼﾞ","1963/04/28","男","O","営業部","1985/04/01","shouzi_ibaraki@xyz.ne.jp"
"1007","石ヶ休　椎茄","ｲｼｶﾞｷｭｳ ｼｲﾅ","1953/02/21","男","O","営業部","1975/04/01","siina_isigagyuu@abc.co.jp"
"1008","赤司　恵治郎","ｱｶﾂｶｻ ｹｲｼﾞﾛｳ","1968/08/02","男","O","経理部","1990/04/01","keizirou_akatukasa@abc.co.jp"
"1009","小橋　仰一","ｵﾊｼ ｷﾞｮｳｲﾁ","1972/03/02","男","B","経理部","1994/04/01","gyouiti_ohasi@abc.co.jp"
"1010","一重　公大","ｲﾁｼﾞｭｳ ｺｳﾀﾞｲ","1964/04/19","男","B","経理部","1986/04/01","koudai_itizyuu@xyz.ne.jp"
"1011","稲並　勝五郎","ｲﾅﾐ ｼｮｳｺﾞﾛｳ","1962/02/18","男","A","営業部","1984/04/01","shougorou_inami@bbb.or.jp"
"1012","穎原　紀代一","ｴｲﾊﾗ ｷﾖｶｽﾞ","1965/02/13","男","O","営業部","1987/04/01","kiyokazu_eihara@bbb.or.jp"
